iter	Passed	Remaining
0	193	193014
1	242	120817
2	293	97461
3	341	85089
4	356	70965
5	407	67488
6	505	71729
7	559	69405
8	612	67443
9	661	65448
10	709	63778
11	759	62494
12	809	61489
13	860	60625
14	913	59955
15	968	59591
16	1023	59164
17	1069	58354
18	1122	57944
19	1175	57582
20	1227	57213
21	1274	56665
22	1307	55557
23	1355	55127
24	1400	54638
25	1448	54251
26	1496	53926
27	1547	53705
28	1598	53513
29	1646	53229
30	1696	53014
31	1746	52823
32	1794	52591
33	1841	52322
34	1886	52003
35	1933	51773
36	1982	51604
37	2032	51459
38	2083	51341
39	2131	51145
40	2180	50994
41	2230	50867
42	2279	50725
43	2327	50578
44	2375	50409
45	2425	50312
46	2474	50179
47	2522	50034
48	2567	49837
49	2615	49701
50	2659	49485
51	2712	49444
52	2760	49320
53	2810	49234
54	2857	49089
55	2906	49000
56	2959	48958
57	3005	48808
58	3058	48776
59	3104	48631
60	3150	48496
61	3201	48435
62	3251	48353
63	3302	48299
64	3351	48212
65	3399	48113
66	3448	48025
67	3500	47975
68	3548	47876
69	3607	47929
70	3680	48151
71	3725	48022
72	3772	47907
73	3827	47892
74	3881	47874
75	3939	47892
76	3991	47843
77	4042	47786
78	4095	47744
79	4153	47761
80	4208	47750
81	4262	47719
82	4319	47725
83	4375	47709
84	4428	47673
85	4484	47657
86	4534	47586
87	4590	47578
88	4681	47920
89	4731	47842
90	4783	47777
91	4835	47725
92	4885	47649
93	4937	47588
94	4987	47510
95	5040	47465
96	5094	47423
97	5144	47345
98	5191	47247
99	5243	47195
100	5296	47140
101	5347	47079
102	5398	47014
103	5449	46945
104	5501	46893
105	5556	46866
106	5612	46839
107	5666	46803
108	5720	46759
109	5774	46718
110	5836	46747
111	5886	46667
112	5941	46636
113	5999	46626
114	6050	46564
115	6101	46501
116	6153	46441
117	6206	46393
118	6258	46330
119	6307	46254
120	6357	46184
121	6410	46135
122	6468	46123
123	6517	46042
124	6570	45992
125	6620	45924
126	6672	45864
127	6730	45851
128	6784	45805
129	6836	45754
130	6891	45718
131	6942	45654
132	6997	45616
133	7050	45563
134	7100	45496
135	7164	45514
136	7222	45498
137	7272	45425
138	7319	45340
139	7373	45291
140	7422	45218
141	7471	45147
142	7523	45087
143	7573	45017
144	7627	44975
145	7682	44935
146	7729	44854
147	7782	44801
148	7833	44740
149	7884	44679
150	7934	44614
151	7986	44556
152	8041	44515
153	8092	44454
154	8144	44400
155	8195	44337
156	8247	44284
157	8308	44279
158	8369	44270
159	8422	44216
160	8479	44190
161	8549	44225
162	8630	44314
163	8721	44458
164	8801	44539
165	8873	44579
166	8956	44673
167	9027	44705
168	9108	44788
169	9179	44816
170	9249	44841
171	9338	44952
172	9421	45036
173	9521	45197
174	9614	45325
175	9703	45428
176	9798	45562
177	9857	45523
178	9903	45423
179	9956	45356
180	10012	45304
181	10064	45234
182	10111	45141
183	10164	45079
184	10232	45080
185	10285	45011
186	10335	44935
187	10402	44931
188	10451	44845
189	10501	44768
190	10550	44687
191	10600	44609
192	10646	44518
193	10693	44426
194	10741	44341
195	10791	44265
196	10843	44201
197	10897	44138
198	10945	44055
199	10994	43978
200	11042	43893
201	11094	43826
202	11143	43749
203	11191	43668
204	11241	43594
205	11291	43521
206	11344	43461
207	11396	43394
208	11447	43324
209	11495	43246
210	11567	43253
211	11617	43181
212	11671	43125
213	11722	43054
214	11773	42985
215	11823	42915
216	11870	42832
217	11920	42762
218	11968	42683
219	12019	42612
220	12066	42532
221	12115	42458
222	12164	42384
223	12216	42320
224	12268	42258
225	12320	42195
226	12369	42120
227	12420	42053
228	12470	41987
229	12521	41921
230	12570	41847
231	12618	41770
232	12670	41709
233	12721	41645
234	12774	41586
235	12826	41521
236	12872	41443
237	12920	41368
238	12968	41292
239	13014	41211
240	13060	41133
241	13111	41067
242	13157	40987
243	13202	40906
244	13253	40841
245	13303	40776
246	13352	40706
247	13402	40639
248	13453	40578
249	13503	40510
250	13554	40446
251	13605	40383
252	13655	40317
253	13712	40274
254	13767	40224
255	13814	40147
256	13862	40077
257	13911	40008
258	13961	39943
259	14008	39870
260	14058	39806
261	14107	39738
262	14155	39666
263	14202	39594
264	14249	39523
265	14294	39445
266	14343	39377
267	14389	39301
268	14434	39224
269	14479	39148
270	14526	39076
271	14585	39036
272	14632	38965
273	14679	38895
274	14729	38832
275	14778	38767
276	14831	38712
277	14879	38643
278	14929	38580
279	14977	38513
280	15028	38452
281	15079	38393
282	15129	38332
283	15179	38269
284	15227	38202
285	15278	38142
286	15325	38074
287	15374	38009
288	15426	37951
289	15470	37874
290	15521	37816
291	15570	37753
292	15638	37736
293	15720	37750
294	15768	37683
